iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/borehole-configuration/directional,directional,,"A borehole intentionally drilled at controlled departures from the vertical or parent borehole trajectory and at controlled azimuths, achieved with the use of geosteering equipment or via other methods (e.g. directional wedge). The main purpose is usually to establish multiple boreholes from a single location and/or to intersect a target or zone of interest. Note that the term 'deviated' is not recommended as an alternate label of 'directional', as it can be used to refer to a borehole that unintentionally deviates from the intended trajectory...",,,"https://linked.data.gov.au/def/borehole-configuration/extended-reach|https://linked.data.gov.au/def/borehole-configuration/lateral",,https://linked.data.gov.au/def/borehole-configuration
https://linked.data.gov.au/def/borehole-configuration/extended-reach,extended-reach,,A directional well in which the ratio of the measured depth (MD) to the true vertical depth (TVD) is at least 2:1.,,,,,https://linked.data.gov.au/def/borehole-configuration
https://linked.data.gov.au/def/borehole-configuration/lateral,lateral,,"A borehole drilled with geosteering equipment with the intent of controlling the trajectory to drill laterally within a targeted stratigraphic interval or intervals. Usually, but not always, drilled close to horizontal and for relatively short distances.",,,,,https://linked.data.gov.au/def/borehole-configuration
https://linked.data.gov.au/def/borehole-configuration/horizontal,horizontal,,"A borehole drilled in a horizontal direction. In the energy industry, this is achieved with geosteering equipment and applies to boreholes where the departure from vertical exceeds about 80°. In the mineral industry, horizontal drilling is typically carried out from an underground location or on the wall of an open pit.",,,,,https://linked.data.gov.au/def/borehole-configuration
https://linked.data.gov.au/def/borehole-configuration/inclined,inclined,,A borehole drilled from the start point at a pre-set nonvertical angle above or below horizontal.,angled,,"https://linked.data.gov.au/def/borehole-configuration/inclined-down|https://linked.data.gov.au/def/borehole-configuration/inclined-up",,https://linked.data.gov.au/def/borehole-configuration
https://linked.data.gov.au/def/borehole-configuration/inclined-down,inclined down,,A borehole drilled from the start point at a pre-set nonvertical angle below horizontal (drilled downwards).,downhole,,,,https://linked.data.gov.au/def/borehole-configuration
https://linked.data.gov.au/def/borehole-configuration/inclined-up,inclined up,,A borehole drilled from the start point at a pre-set nonvertical angle above horizontal (drilled upwards).,uphole,,,,https://linked.data.gov.au/def/borehole-configuration
https://linked.data.gov.au/def/borehole-configuration/vertical,vertical,,A borehole drilled in a vertical downwards direction with the intent of maintaining a vertical trajectory. Deviations up to 2° from the vertical line are usually accepted as 'vertical’.,,,,,https://linked.data.gov.au/def/borehole-configuration
https://linked.data.gov.au/def/borehole-configuration/vertical-uphole,vertical uphole,,A borehole drilled underground from the start point in a pre-set vertical upwards direction.,,,,,https://linked.data.gov.au/def/borehole-configuration
